date	year	month	eR_Market	PRICEDIVIDENDRATIO_level_inv_z	PRICEDIVIDENDRATIO_level_lag_inv_z
1952-01	1952	01	.01427604	2.18345788536844	
1952-02	1952	02	-.02651709	2.28462427975904	2.18222730823471
1952-03	1952	03	.04301318	2.28376211057249	2.2834023475123
1952-04	1952	04	-.0507047	2.33314837663509	2.28254010465153
1952-05	1952	05	.03145841	2.37010468270335	2.33193059087727
1952-06	1952	06	.03724095	2.27021014688045	2.36889005494174
1952-07	1952	07	.00914428	2.13290179184965	2.26898698291491
1952-08	1952	08	-.00751695	2.11390834708989	2.1316668945885
1952-09	1952	09	-.02027199	2.19079913393336	2.11267182679784
1952-10	1952	10	-.00681365	2.24909424535947	2.18956918412519
1952-11	1952	11	.05717506	2.05431874785226	2.24786927699452
1952-12	1952	12	.02893049	1.82953853954479	2.0530771355002
1953-01	1953	01	-.00309985	1.80558511197439	1.82827771923826
1953-02	1953	02	-.00259974	1.86071166515238	1.80432224479572
1953-03	1953	03	-.01488362	1.83815483743503	1.85945350865679
1953-04	1953	04	-.02835346	2.08175748030665	1.83689475340977
1953-05	1953	05	.00547565	2.06811793652085	2.08051821265357
1953-06	1953	06	-.01935154	2.25492315319806	2.06687750333928
1953-07	1953	07	.02387643	2.18627750078594	2.25369868292587
1953-08	1953	08	-.04617305	2.16644918361601	2.18504716459444
1953-09	1953	09	.00209445	2.39823837177886	2.16521715305196
1953-10	1953	10	.04443874	2.2853395497442	2.39702614810177
1953-11	1953	11	.02759339	2.21235145103191	2.28411767861882
1953-12	1953	12	.00029957	2.18105053850333	2.21112334291579
1954-01	1954	01	.04978382	2.08319481857185	2.17981975565661
1954-02	1954	02	.0164523	2.00251370919973	2.08195567374243
1954-03	1954	03	.03572509	1.92698443572204	2.00126766999519
1954-04	1954	04	.04148917	1.73145039991127	1.92573194237788
1954-05	1954	05	.03032027	1.54454514566717	1.73018119776127
1954-06	1954	06	.01053792	1.49218778358253	1.54325997205935
1954-07	1954	07	.04838552	1.34967628542496	1.49089813592499
1954-08	1954	08	-.02346149	1.2895217396627	1.34837445985199
1954-09	1954	09	.06151167	1.21689022194483	1.28821477375382
1954-10	1954	10	-.01682914	1.18915276917182	1.21557704951583
1954-11	1954	11	.08951507	1.10225518344572	1.18783722651754
1954-12	1954	12	.05312016	0.993299716300946	1.10093221520498
1955-01	1955	01	.00617593	0.944334922653369	0.99196743758013
1955-02	1955	02	.02953261	0.843068575737038	0.942998459785139
1955-03	1955	03	-.00169975	0.885931356126542	0.841723459440661
1955-04	1955	04	.03059606	0.775259399563027	0.884589902547361
1955-05	1955	05	.00904624	0.797179719300518	0.773908488826033
1955-06	1955	06	.06310142	0.615230028555312	0.795830681702207
1955-07	1955	07	.01880313	0.424997397704109	0.613865442962794
1955-08	1955	08	.00219408	0.476315174240206	0.423616556322255
1955-09	1955	09	-.00370093	0.372771477484254	0.474938718073238
1955-10	1955	10	-.02701363	0.545913940984566	0.371386173284675
1955-11	1955	11	.06754762	0.356289618592427	0.544543432182597
1955-12	1955	12	.01466534	0.340626251197344	0.354902905982393
1956-01	1956	01	-.03059706	0.479452989211619	0.339238200118723
1956-02	1956	02	.03684163	0.515587814007522	0.47807680117772
1956-03	1956	03	.06391426	0.363909107230731	0.514214713772477
1956-04	1956	04	.00279079	0.368953727021834	0.362523045722465
1956-05	1956	05	-.05316969	0.508365110039213	0.367568096587228
1956-06	1956	06	.03404459	0.568498372620766	0.506991392608509
1956-07	1956	07	.04706866	0.425525390647317	0.567129793707277
1956-08	1956	08	-.03277651	0.466671721299768	0.424144594383601
1956-09	1956	09	-.05267071	0.599977053546399	0.46529444107891
1956-10	1956	10	.00507439	0.582516814455067	0.59861116455421
1956-11	1956	11	.00358638	0.556151797789815	0.581149433447722
1956-12	1956	12	.03103765	0.449849260071427	0.55478216383483
1957-01	1957	01	-.03625314	0.51268776025659	0.448470542334909
1957-02	1957	02	-.02086664	0.648904205414187	0.511314412205686
1957-03	1957	03	.02102847	0.600698389488946	0.647542497352841
1957-04	1957	04	.04152001	0.52711333501388	0.599332562136472
1957-05	1957	05	.0337353	0.40964303872984	0.525741219659508
1957-06	1957	06	-.00751017	0.360107131545902	0.408260885284836
1957-07	1957	07	.00645965	0.317602531425795	0.358720745150599
1957-08	1957	08	-.05231758	0.508459138472351	0.316212512920573
1957-09	1957	09	-.0616038	0.660816270859634	0.507085429076579
1957-10	1957	10	-.04382197	0.900802608421027	0.659455580710018
1957-11	1957	11	.02248172	0.99960684994272	0.899462425622487
1957-12	1957	12	-.03989133	1.02192574607416	0.998275110180101
1958-01	1958	01	.04570832	0.937976092791432	1.02059591350944
1958-02	1958	02	-.01519679	0.912452852385538	0.936639086547451
1958-03	1958	03	.03234174	0.827455405373952	0.911113665125517
1958-04	1958	04	.03031131	0.782527057004461	0.826108954898433
1958-05	1958	05	.02281242	0.650472605634941	0.781176767304498
1958-06	1958	06	.02887042	0.548407929547343	0.649111031596782
1958-07	1958	07	.04293428	0.462864938714122	0.547037633862085
1958-08	1958	08	.0188143	0.350644035474	0.461487333195466
1958-09	1958	09	.04546237	0.273437965454036	0.34925684043669
1958-10	1958	10	.02523296	0.170108867711743	0.272044172991226
1958-11	1958	11	.0295268	0.0973616576501543	0.168706245554271
1958-12	1958	12	.04992037	0.0568401367383086	0.0959528190864002
1959-01	1959	01	.00715922	-0.0368755394228473	0.055427835523039
1959-02	1959	02	.00943731	0.0137267679113325	-0.0382958488451334
1959-03	1959	03	.00259093	-0.0423616683160829	0.0123107825655429
1959-04	1959	04	.03587565	-0.0756160777792388	-0.0437824465399367
1959-05	1959	05	.01701664	-0.104300706419068	-0.077039697664233
1959-06	1959	06	-.00259689	-0.0725525207561284	-0.105726777467557
1959-07	1959	07	.0309379	-0.161660936152664	-0.0739758788535557
1959-08	1959	08	-.01397078	-0.138147416781233	-0.163091908756721
1959-09	1959	09	-.04903444	-0.0250363299634075	-0.139576380104255
1959-10	1959	10	.01258252	-0.0130548770657559	-0.0264556276996647
1959-11	1959	11	.01563614	-0.0140241347515665	-0.0144731509609751
1959-12	1959	12	.02412365	-0.0863381825752369	-0.0154424914719491
1960-01	1960	01	-.07221601	0.0114232717563102	-0.0877627186872528
1960-02	1960	02	.01130292	0.17311336228905	0.0100070895717971
1960-03	1960	03	-.01647782	0.267229823559245	0.171710996872132
1960-04	1960	04	-.0172149	0.235014696987243	0.265835500597297
1960-05	1960	05	.03054497	0.266657128899694	0.233617621173124
1960-06	1960	06	.02073329	0.167579785680834	0.26526275699975
1960-07	1960	07	-.02395384	0.239212916708143	0.166176947407838
1960-08	1960	08	.02960629	0.204965349132268	0.237816199640969
1960-09	1960	09	-.06166725	0.293495613806095	0.203565705536447
1960-10	1960	10	-.00721013	0.352647372956385	0.292103535312675
1960-11	1960	11	.04567985	0.258480987923661	0.351260349108592
1960-12	1960	12	.04585722	0.190393100294223	0.257085917354804
1961-01	1961	01	.05994921	0.0469321382911802	0.188992211468254
1961-02	1961	02	.03502934	-0.0637665656538069	0.0455189904160355
1961-03	1961	03	.02843421	-0.146694180061805	-0.0651891729723871
1961-04	1961	04	.00299043	-0.211702596333006	-0.148123873724215
1961-05	1961	05	.02357693	-0.236262168038349	-0.213137845105048
1961-06	1961	06	-.03122086	-0.203901383974472	-0.237699515478859
1961-07	1961	07	.0278575	-0.188744157889718	-0.205335966116063
1961-08	1961	08	.02543763	-0.265916605396529	-0.19017744481359
1961-09	1961	09	-.0216972	-0.23893286742828	-0.267356486872785
1961-10	1961	10	.0254251	-0.240834889616825	-0.240370443085824
1961-11	1961	11	.04347449	-0.321924984829924	-0.242272627806274
1961-12	1961	12	-.0017982	-0.320276817230187	-0.323369652343218
1962-01	1962	01	-.03947613	-0.222256215258382	-0.321721343903998
