date	year	month	eR_Market
1952-01	1952	01	.01427604
1952-02	1952	02	-.02651709
1952-03	1952	03	.04301318
1952-04	1952	04	-.0507047
1952-05	1952	05	.03145841
1952-06	1952	06	.03724095
1952-07	1952	07	.00914428
1952-08	1952	08	-.00751695
1952-09	1952	09	-.02027199
1952-10	1952	10	-.00681365
1952-11	1952	11	.05717506
1952-12	1952	12	.02893049
1953-01	1953	01	-.00309985
1953-02	1953	02	-.00259974
1953-03	1953	03	-.01488362
1953-04	1953	04	-.02835346
1953-05	1953	05	.00547565
1953-06	1953	06	-.01935154
1953-07	1953	07	.02387643
1953-08	1953	08	-.04617305
1953-09	1953	09	.00209445
1953-10	1953	10	.04443874
1953-11	1953	11	.02759339
1953-12	1953	12	.00029957
1954-01	1954	01	.04978382
1954-02	1954	02	.0164523
1954-03	1954	03	.03572509
1954-04	1954	04	.04148917
1954-05	1954	05	.03032027
1954-06	1954	06	.01053792
1954-07	1954	07	.04838552
1954-08	1954	08	-.02346149
1954-09	1954	09	.06151167
1954-10	1954	10	-.01682914
1954-11	1954	11	.08951507
1954-12	1954	12	.05312016
1955-01	1955	01	.00617593
1955-02	1955	02	.02953261
1955-03	1955	03	-.00169975
1955-04	1955	04	.03059606
1955-05	1955	05	.00904624
1955-06	1955	06	.06310142
1955-07	1955	07	.01880313
1955-08	1955	08	.00219408
1955-09	1955	09	-.00370093
1955-10	1955	10	-.02701363
1955-11	1955	11	.06754762
1955-12	1955	12	.01466534
1956-01	1956	01	-.03059706
1956-02	1956	02	.03684163
1956-03	1956	03	.06391426
1956-04	1956	04	.00279079
1956-05	1956	05	-.05316969
1956-06	1956	06	.03404459
1956-07	1956	07	.04706866
1956-08	1956	08	-.03277651
1956-09	1956	09	-.05267071
1956-10	1956	10	.00507439
1956-11	1956	11	.00358638
1956-12	1956	12	.03103765
1957-01	1957	01	-.03625314
1957-02	1957	02	-.02086664
1957-03	1957	03	.02102847
1957-04	1957	04	.04152001
1957-05	1957	05	.0337353
1957-06	1957	06	-.00751017
1957-07	1957	07	.00645965
1957-08	1957	08	-.05231758
1957-09	1957	09	-.0616038
1957-10	1957	10	-.04382197
1957-11	1957	11	.02248172
1957-12	1957	12	-.03989133
1958-01	1958	01	.04570832
1958-02	1958	02	-.01519679
1958-03	1958	03	.03234174
1958-04	1958	04	.03031131
1958-05	1958	05	.02281242
